pair,crop,mae,rmse,mape,n_rows,n_folds,target
cassava/Accra,cassava,0.4403015589416027,0.5724603687371241,11.422400832417175,52,4,returns
cassava/Bolgatanga,cassava,2.1204699054631324,4.182773377702253,36.59079389140371,46,3,returns
cassava/Cape Coast,cassava,2.192220757305622,2.8472388249154874,22.75327480899661,48,3,returns
cassava/Ejura,cassava,2.541742039237704,3.8423044961723942,40.15618844739376,23,2,returns
cassava/Garu,cassava,0.9479672619700432,1.1411974250972052,20.103070394724465,18,1,returns
cassava/Ho,cassava,1.2914400777816772,2.0712052388928672,33.09587287002103,41,3,returns
cassava/Hohoe,cassava,0.9595647134099689,1.4077091362232594,20.369393975596005,21,1,returns
cassava/Kintampo,cassava,0.6872997182110946,1.0026871643462834,21.06308522896877,48,3,returns
cassava/Koforidua,cassava,1.375393796408618,1.9273764205943642,24.42532035256266,39,3,returns
cassava/Kumasi,cassava,0.7236528746187686,0.9586510595644192,18.853633432218075,50,4,returns
cassava/Mankessim,cassava,1.2756362184286116,1.6346165860782331,38.417907090486075,43,3,returns
cassava/Obuasi,cassava,0.893983444472154,1.3061446409941917,19.024211311291683,42,3,returns
cassava/Sekondi-Takoradi,cassava,0.9120833132002092,1.2859489370078019,12.256540208116148,48,3,returns
cassava/Sunyani,cassava,1.282063842892647,1.741897925265732,27.66635210987667,51,4,returns
cassava/Tamale,cassava,1.2363338475028673,1.5772941586106677,23.39430851441564,43,3,returns
cassava/Techiman,cassava,0.9885393704771994,1.3371866838226958,25.27507541121514,53,4,returns
cassava/Tema,cassava,2.074150900766253,2.6713472696028804,24.298374456648233,50,4,returns
cassava/Wa,cassava,1.173309439729761,1.5602397407027668,18.28771000619042,36,3,returns
cassava/Yendi,cassava,0.379505820001165,0.603219358502424,8.50748634358323,32,3,returns
chicken/Accra,chicken,3.721088032280957,5.5016249812322116,12.808000336821129,38,3,returns
chicken/Bolgatanga,chicken,7.386555282076199,10.460673743696931,87.97124694144568,29,2,returns
chicken/Cape Coast,chicken,4.170843485792479,5.337326326219271,36.59316607854875,27,2,returns
chicken/Ho,chicken,2.689045399328073,3.630124265911067,40.3336261714245,27,2,returns
chicken/Hohoe,chicken,9.258286655800683,14.151838583701752,21.54248764254109,21,1,returns
chicken/Kintampo,chicken,4.114041839564839,5.507443138577865,16.65022264139351,35,3,returns
chicken/Koforidua,chicken,5.1667634222656496,7.756022205874993,14.765570019533127,26,2,returns
chicken/Kumasi,chicken,5.421229449135287,6.853494771078979,23.907582528702918,36,3,returns
chicken/Mankessim,chicken,2.2103323438621705,2.7712898258368104,25.939559010653586,30,3,returns
chicken/Obuasi,chicken,3.920762633596148,4.896712056898321,39.96237485506852,23,2,returns
chicken/Sekondi-Takoradi,chicken,5.974763452534873,8.549306864787498,14.045648373449547,35,3,returns
chicken/Sunyani,chicken,3.5746695649623867,4.616698783167368,14.36164009342533,35,3,returns
chicken/Tamale,chicken,3.804797075390816,5.446147683945081,13.823371368971301,33,3,returns
chicken/Techiman,chicken,5.6501579770556205,7.265194917528025,22.73666940050634,39,3,returns
chicken/Tema,chicken,8.613058133373658,11.432059325449158,20.54625804937265,32,3,returns
chicken/Wa,chicken,12.973814306457838,17.844468056127017,42.20459754284353,18,1,returns
chicken/Yendi,chicken,9.186819906433424,13.655022194935247,28.77008635195648,27,2,returns
cowpea/Accra,cowpea,1.8426524383491945,2.3830381165388483,31.62177908613621,38,3,returns
cowpea/Bolgatanga,cowpea,2.1430400733815302,3.1176359788811343,49.837391580358,27,2,returns
cowpea/Cape Coast,cowpea,3.7291316887310573,5.072234105054731,45.19370199234649,30,3,returns
cowpea/Ho,cowpea,0.8651495668623181,1.1239834122713108,24.692635305748123,29,2,returns
cowpea/Hohoe,cowpea,0.80899997149195,1.0144546184211238,8.02015659791743,21,1,returns
cowpea/Kintampo,cowpea,1.7501693195849657,2.483848034193389,47.133361242455074,24,2,returns
cowpea/Koforidua,cowpea,5.058398399166762,8.816948623110584,67.52206840633136,24,2,returns
cowpea/Kumasi,cowpea,2.5190940931991297,3.6093910052248535,45.513479937050654,36,3,returns
cowpea/Mankessim,cowpea,5.241402381906908,7.2333841927201705,82.7794771730683,35,3,returns
cowpea/Obuasi,cowpea,2.72789502288614,4.219155846113657,21.237709408398842,31,3,returns
cowpea/Sekondi-Takoradi,cowpea,2.4929859703999977,3.4981571782586016,28.33290211093301,36,3,returns
cowpea/Sunyani,cowpea,3.100911080682719,3.970162923995058,55.223093002183965,36,3,returns
cowpea/Tamale,cowpea,1.3869375085168414,1.9504868617348823,30.465091713590397,36,3,returns
cowpea/Techiman,cowpea,2.5986458430190877,3.214758678808984,66.49934125030163,35,3,returns
cowpea/Tema,cowpea,5.355730443000795,6.720726806725587,42.854343487751976,35,3,returns
cowpea/Wa,cowpea,0.4754730254039167,0.7156869189188875,12.134747368806202,25,2,returns
eggs/Accra,eggs,132.2866643977662,185.41266932805198,18.182740575865523,34,3,returns
eggs/Bolgatanga,eggs,80.81646259290831,116.4640257543528,13.466680062798279,23,2,returns
eggs/Hohoe,eggs,309.86840310811994,371.0163958811754,60.01516990431492,21,1,returns
eggs/Kintampo,eggs,103.90342018777415,128.1294663892925,18.03317299420875,31,3,returns
eggs/Koforidua,eggs,541.4167190180223,739.7163770052729,55.195228618227375,19,1,returns
eggs/Kumasi,eggs,120.5064180800177,169.5418403327147,18.492965067385548,30,3,returns
eggs/Sekondi-Takoradi,eggs,212.4528832520757,291.3448374031489,21.653927031165676,30,3,returns
eggs/Sunyani,eggs,138.8811752853791,178.48617462651487,27.14435236154847,33,3,returns
eggs/Tamale,eggs,133.51418377444145,162.06442698500865,24.517114744102383,25,2,returns
eggs/Techiman,eggs,150.644224760709,213.49635814793058,39.78869499379116,36,3,returns
eggs/Tema,eggs,191.0628251135349,264.9104253265107,20.619780240260354,24,2,returns
fish_mackerel/Accra,fish_mackerel,2.0833435190220677,3.168926179653796,12.66904163410424,34,3,returns
fish_mackerel/Bolgatanga,fish_mackerel,0.7402460359781978,0.9652298366707085,8.138473040865868,24,2,returns
fish_mackerel/Cape Coast,fish_mackerel,6.260029388554393,11.354756756758231,26.522237706684543,25,2,returns
